user_email,source_id,method,grammar_score,correct_score,preservation_score,cultural_align_score,evaluation_time
5ea96c415a6a4e068b6d1e84_old_old,60031,bloom_adapted,6,7,6,6,13
5ea649d884b9864dbacc4026_old_old,43684,gpt4,7,7,7,7,48
5ea649d884b9864dbacc4026_old_old,525598,mt_zeroshot,1,1,1,1,14
5ea649d884b9864dbacc4026_old_old,307355,mt5_base,3,3,3,3,68
604db6324496c57afe822770_old_old,1447704,gpt4,6,7,7,7,211
5fa9da847709a126bee808fb_old_old,514409,mt5_base,5,5,6,5,60
5fa9da847709a126bee808fb_old_old,52363,bloom_adapted,5,5,5,5,40
5fa9da847709a126bee808fb_old_old,289132,mt_zeroshot,2,2,2,2,34
5dcfc4a09595a10cd3ef3e59_old_old,43684,human,5,6,5,5,64
5f985596be2ea910b23827ed_old_old,602516,bloom_adapted,3,4,3,3,119
5dcfc4a09595a10cd3ef3e59_old_old,279069,bloom_adapted,6,3,2,1,34
5dcfc4a09595a10cd3ef3e59_old_old,43012,mt_zeroshot,7,7,7,5,18
6157b4423b44be8c20642f98_old_old,1051604,bloom_adapted,4,4,5,2,104
5f985596be2ea910b23827ed_old_old,32355,mt5_base,6,6,5,6,176
5f985596be2ea910b23827ed_old_old,757782,mt_zeroshot,3,2,3,2,45
6157b4423b44be8c20642f98_old_old,279069,human,5,6,6,2,69
6157b4423b44be8c20642f98_old_old,415399,human,6,1,1,4,43
6441c22dfc799faa0cef316e_old_old,1031914,gpt4,3,5,5,5,51
5f4c9e74da9c148b0d42ecbd_old_old,43684,mt5_base,4,3,2,3,65
5f4c9e74da9c148b0d42ecbd_old_old,51111,mt_zeroshot,3,2,2,2,14
5f4c9e74da9c148b0d42ecbd_old_old,9692,mt_zeroshot,2,1,2,1,11
5d8cb1c93a7d5c00196eae92_old_old,324258,bloom_adapted,1,1,1,1,139
60211a7c07e6f203ccb99231_old_old,8900,bloom_adapted,3,3,3,2,571
5fbc252f7ff9910aa49d20fa_old_old,52363,human,5,6,6,3,49
60c715c89bb47f3847a690f0_old_old,5157,human,7,7,7,7,30
60c715c89bb47f3847a690f0_old_old,325580,human,7,7,7,7,17
5fbc252f7ff9910aa49d20fa_old_old,1278428,bloom_adapted,5,6,7,3,44
60c715c89bb47f3847a690f0_old_old,1051604,human,7,7,7,6,21
5fbc252f7ff9910aa49d20fa_old_old,324258,human,5,6,7,3,20
63bda084d8fb45c4034770b5_old_old,1447704,mt5_base,7,3,4,3,62
63bda084d8fb45c4034770b5_old_old,2098619,mt_zeroshot,1,1,2,1,23
63bda084d8fb45c4034770b5_old_old,572285,gpt4,1,2,4,1,25
5ca650fc557aec0012e200d8_old_old,31299,mt5_base,1,1,1,1,38
63e538b2184766a67a99e21f_old_old,708828,bloom_adapted,6,7,7,3,36
63ebc2bce05579ac6b13affc_old_old,30811,gpt4,7,6,5,7,216
63ebc2bce05579ac6b13affc_old_old,52363,mt5_base,5,2,1,3,98
63ebc2bce05579ac6b13affc_old_old,1447704,mt_zeroshot,1,1,1,1,44
5da4ae83fa7abd0016ddd461_old_old,44229,bloom_adapted,2,2,6,3,59
5da4ae83fa7abd0016ddd461_old_old,757782,mt_finetuned,5,5,1,3,40
5da4ae83fa7abd0016ddd461_old_old,1447704,human,3,3,2,3,82
63d4113aef8f15b7671adab1_old_old,757782,bloom_adapted,3,6,6,2,81
63d4113aef8f15b7671adab1_old_old,30811,mt_finetuned,3,2,1,2,53
63d4113aef8f15b7671adab1_old_old,1543956,bloom_adapted,1,1,1,2,29
5d8492ecb485f60018b006a6_old_old,37558,mt_zeroshot,2,7,7,2,59
64623fb9c31bd4da22cb60fd_old_old,60031,mt_zeroshot,1,1,1,1,88
64623fb9c31bd4da22cb60fd_old_old,1051604,gpt4,6,6,6,6,97
64623fb9c31bd4da22cb60fd_old_old,1543956,mt_zeroshot,1,1,1,1,28
63d13d214a2a7a3987f88f5b_old_old,18258,human,6,1,4,4,76
63d13d214a2a7a3987f88f5b_old_old,514409,human,6,3,3,3,90
63d13d214a2a7a3987f88f5b_old_old,602516,human,5,3,7,2,47
5c92cbb87a7067000190b8e6_old_old,30811,mt5_base,6,6,3,5,56
5f74fd83ed11b81620baf105_old_old,44229,human,6,4,5,7,63
5f74fd83ed11b81620baf105_old_old,44229,mt_zeroshot,2,2,3,2,32
5f74fd83ed11b81620baf105_old_old,514409,bloom_adapted,4,1,1,1,29
5c670a430d80fd00014264f9_old_old,1926710,human,6,7,6,7,20
5ea2462990d52b150bc75189_old_old,1447704,bloom_adapted,1,2,5,2,208
5ea2462990d52b150bc75189_old_old,43012,bloom_adapted,1,1,1,1,112
5ea2462990d52b150bc75189_old_old,43012,mt5_base,7,2,2,4,97
5c670a430d80fd00014264f9_old_old,1926710,human,6,7,6,7,20
640789afdf1abe45bbe8a337_old_old,1031914,bloom_adapted,4,4,6,6,223
640789afdf1abe45bbe8a337_old_old,1278428,mt5_base,5,6,6,6,58
640789afdf1abe45bbe8a337_old_old,9692,gpt4,5,5,4,4,162
5d78ec3b3183ab00199e0943_old_old,31299,mt_finetuned,7,6,6,6,14
5d78ec3b3183ab00199e0943_old_old,30811,human,6,6,6,4,33
5d78ec3b3183ab00199e0943_old_old,289132,gpt4,6,5,5,4,31
63d4113aef8f15b7671adab1_old_old,31299,gpt4,2,1,1,1,46
60211a7c07e6f203ccb99231_old_old,602516,gpt4,1,2,2,2,218
5db325a56c8068000db18295_old_old,37558,human,2,2,4,1,56
5da4ae83fa7abd0016ddd461_old_old,289132,mt5_base,4,4,1,4,155
5b0dabc4337e750001316680_old_old,1543956,gpt4,6,6,6,6,43
5b0dabc4337e750001316680_old_old,324258,mt5_base,4,4,2,4,61
5b0dabc4337e750001316680_old_old,37558,mt_finetuned,4,4,1,4,57
604db6324496c57afe822770_old_old,1960136,human,5,5,6,5,183
602c1f715e466a4985a5776f_old_old,1970885,human,5,5,5,5,35
602c1f715e466a4985a5776f_old_old,51111,bloom_adapted,1,1,1,1,21
602c1f715e466a4985a5776f_old_old,1543956,mt_finetuned,2,2,2,2,18
63ebc2bce05579ac6b13affc_old_old,43012,human,4,4,5,5,132
5fbc252f7ff9910aa49d20fa_old_old,51111,human,5,6,6,3,77
5fa9da847709a126bee808fb_old_old,37558,gpt4,5,5,5,5,50
5dda6f4e82569a9cea908bb2_old_old,5157,mt5_base,3,5,6,1,95
5dda6f4e82569a9cea908bb2_old_old,1031914,human,7,6,6,4,87
5dda6f4e82569a9cea908bb2_old_old,708828,gpt4,1,2,5,3,87
60c715c89bb47f3847a690f0_old_old,2194937,human,6,7,7,6,14
5c92cbb87a7067000190b8e6_old_old,525598,bloom_adapted,1,1,4,1,60
5f69d524183920000a9f9d14_old_old,525598,gpt4,6,4,2,4,118
5f69d524183920000a9f9d14_old_old,708828,human,6,5,3,5,58
5f69d524183920000a9f9d14_old_old,1599345,human,6,6,6,3,115
5ea2462990d52b150bc75189_old_old,415399,mt_finetuned,7,2,2,4,136
5ea2462990d52b150bc75189_old_old,415399,mt_finetuned,7,2,2,4,10
5ea649d884b9864dbacc4026_old_old,60031,human,5,5,7,6,46
5d8cb1c93a7d5c00196eae92_old_old,757782,mt5_base,6,6,3,5,72
5f07d88a3c105f01df6fae40_old_old,1189319,human,7,7,7,2,57
5dfd0442c4fba502ac52a918_old_old,279069,mt_zeroshot,1,1,1,1,70
5dfd0442c4fba502ac52a918_old_old,32355,bloom_adapted,2,3,5,4,93
5dfd0442c4fba502ac52a918_old_old,8900,gpt4,5,6,3,5,63
601a80c92b5f812ab426bdc3_old_old,572285,mt5_base,6,6,6,6,22
601a80c92b5f812ab426bdc3_old_old,550476,mt_zeroshot,2,2,3,2,20
601a80c92b5f812ab426bdc3_old_old,51111,mt_finetuned,5,3,2,2,19
60c7bc36af69b16e42b2c915_old_old,602516,mt_zeroshot,1,1,2,1,41
60c7bc36af69b16e42b2c915_old_old,31299,bloom_adapted,2,7,7,1,91
60c7bc36af69b16e42b2c915_old_old,514409,gpt4,7,6,6,5,75
60c715c89bb47f3847a690f0_old,44229,mt5_base,6,7,7,6,17
60c715c89bb47f3847a690f0_old,572285,bloom_adapted,5,5,4,5,17
60c715c89bb47f3847a690f0_old,1599345,mt_finetuned,2,1,1,5,42
60211a7c07e6f203ccb99231_old,60031,mt5_base,2,2,2,1,106
60211a7c07e6f203ccb99231_old,2194937,mt5_base,2,3,2,3,9
60211a7c07e6f203ccb99231_old,1051604,mt_finetuned,3,2,3,1,43
5ea649d884b9864dbacc4026_old,1960136,gpt4,6,6,6,6,37
5ea649d884b9864dbacc4026_old,5157,mt_finetuned,4,1,1,4,30
5ea649d884b9864dbacc4026_old,52363,mt_finetuned,4,4,4,4,14
5ca650fc557aec0012e200d8_old,140681,gpt4,6,6,6,1,475
5ca650fc557aec0012e200d8_old,311192,mt_finetuned,1,1,1,1,35
63bda084d8fb45c4034770b5_old,1189319,mt_zeroshot,5,4,6,2,19
5ca650fc557aec0012e200d8_old,324258,gpt4,2,2,1,1,51
63bda084d8fb45c4034770b5_old,307355,human,6,3,3,1,21
63bda084d8fb45c4034770b5_old,140681,human,6,6,6,3,11
5da4ae83fa7abd0016ddd461_old,325580,bloom_adapted,2,2,5,2,62
5d384c97285d1400199a2886_old,140681,bloom_adapted,6,6,7,5,105
5d384c97285d1400199a2886_old,1926710,mt5_base,3,3,3,4,55
5d384c97285d1400199a2886_old,307355,mt_finetuned,5,4,3,3,55
5da4ae83fa7abd0016ddd461_old,514409,mt_finetuned,2,2,1,2,645
5da4ae83fa7abd0016ddd461_old,1970885,bloom_adapted,6,6,6,6,23
5b8845cd2fd5c7000101c463_old,31299,mt_zeroshot,1,5,7,2,113
5b8845cd2fd5c7000101c463_old,757782,gpt4,7,7,7,4,105
5b8845cd2fd5c7000101c463_old,415399,gpt4,7,7,7,5,98
63ebc2bce05579ac6b13affc_old,9692,bloom_adapted,1,1,3,1,68
63ebc2bce05579ac6b13affc_old,1970885,mt_finetuned,4,1,1,1,72
63ebc2bce05579ac6b13affc_old,1599345,mt5_base,5,1,1,1,92
63d4113aef8f15b7671adab1_old,1926710,gpt4,2,2,2,2,20
63d4113aef8f15b7671adab1_old,311192,mt5_base,2,2,2,2,29
63d4113aef8f15b7671adab1_old,18258,mt5_base,2,2,2,2,11
64623fb9c31bd4da22cb60fd_old,1926710,mt_zeroshot,1,1,2,1,79
64623fb9c31bd4da22cb60fd_old,289132,mt_finetuned,6,6,1,1,73
64623fb9c31bd4da22cb60fd_old,708828,mt5_base,3,2,1,1,42
5c670a430d80fd00014264f9_old,60031,mt_finetuned,2,1,2,2,76
5c670a430d80fd00014264f9_old,307355,mt_zeroshot,6,6,7,6,206
5c670a430d80fd00014264f9_old,415399,mt5_base,2,2,1,2,23
602c1f715e466a4985a5776f_old,325580,mt_zeroshot,1,1,1,1,23
602c1f715e466a4985a5776f_old,415399,bloom_adapted,5,5,5,5,13
602c1f715e466a4985a5776f_old,324258,mt_zeroshot,5,5,5,5,13
5ea2462990d52b150bc75189_old,1960136,bloom_adapted,3,6,6,3,56
5ea2462990d52b150bc75189_old,43684,bloom_adapted,1,4,4,3,240
5ea2462990d52b150bc75189_old,140681,mt_finetuned,7,3,2,3,90
604db6324496c57afe822770_old,311192,mt_zeroshot,2,2,3,2,279
604db6324496c57afe822770_old,1031914,mt_finetuned,1,1,1,1,151
604db6324496c57afe822770_old,8900,mt_zeroshot,3,4,4,3,40
5f38f4d28741a54106c05c4f_old,311192,human,6,7,7,7,38
5f38f4d28741a54106c05c4f_old,2194937,mt_zeroshot,1,1,1,1,13
5f38f4d28741a54106c05c4f_old,18258,bloom_adapted,4,2,5,4,28
5fc7f97d984e250e0954d565_old,1189319,mt_finetuned,1,1,1,1,42
5fc7f97d984e250e0954d565_old,572285,mt_zeroshot,1,1,5,1,69
5fc7f97d984e250e0954d565_old,550476,human,6,7,7,1,22
5dcfc4a09595a10cd3ef3e59_old,2098619,human,7,7,5,5,29
5dcfc4a09595a10cd3ef3e59_old,51111,gpt4,7,7,5,4,25
5dcfc4a09595a10cd3ef3e59_old,9692,human,7,6,4,5,22
5f4c9e74da9c148b0d42ecbd_old,60031,gpt4,5,4,5,3,47
5f4c9e74da9c148b0d42ecbd_old,325580,mt_finetuned,2,2,2,2,10
5f4c9e74da9c148b0d42ecbd_old,1926710,mt_finetuned,1,1,1,1,19
5f985596be2ea910b23827ed_old,415399,mt_zeroshot,1,1,3,6,556
5f985596be2ea910b23827ed_old,572285,human,6,5,2,6,99
5f985596be2ea910b23827ed_old,51111,mt5_base,5,6,2,6,86
63d13d214a2a7a3987f88f5b_old,31299,human,6,2,6,2,39
63d13d214a2a7a3987f88f5b_old,525598,human,7,4,6,7,38
63d13d214a2a7a3987f88f5b_old,1543956,human,5,3,6,2,71
647e0f22b1d466181ae694c4_old,43012,gpt4,7,7,7,7,117
647e0f22b1d466181ae694c4_old,5157,mt_zeroshot,3,5,6,6,97
647e0f22b1d466181ae694c4_old,32355,mt_zeroshot,1,2,3,3,140
6310bf2d4897ec60e9079b63_old,1278428,human,7,7,7,6,105
6310bf2d4897ec60e9079b63_old,325580,gpt4,7,1,7,7,98
6310bf2d4897ec60e9079b63_old,525598,mt5_base,7,6,2,7,65
5fbc252f7ff9910aa49d20fa_old,324258,mt_finetuned,5,4,5,3,78
5fbc252f7ff9910aa49d20fa_old,289132,human,6,6,6,4,32
5fbc252f7ff9910aa49d20fa_old,8900,human,5,6,7,4,39
6157b4423b44be8c20642f98_old,602516,mt_finetuned,7,1,1,2,40
6157b4423b44be8c20642f98_old,550476,gpt4,7,7,7,6,49
6157b4423b44be8c20642f98_old,289132,bloom_adapted,6,7,7,4,38
5d8cb1c93a7d5c00196eae92_old,1960136,mt5_base,4,4,2,6,128
5d8cb1c93a7d5c00196eae92_old,2194937,mt_finetuned,6,5,3,5,66
5d8cb1c93a7d5c00196eae92_old,32355,gpt4,6,6,5,6,55
5f69d524183920000a9f9d14_old,514409,mt_zeroshot,3,3,5,3,64
5f69d524183920000a9f9d14_old,5157,bloom_adapted,6,6,4,4,54
5f69d524183920000a9f9d14_old,757782,human,6,3,5,3,53
5f07d88a3c105f01df6fae40_old,311192,gpt4,7,7,7,3,107
5f07d88a3c105f01df6fae40_old,550476,bloom_adapted,6,6,7,3,167
5f07d88a3c105f01df6fae40_old,550476,mt5_base,6,6,1,3,84
5ef4860d22eb1d04bbcd9586_old,2098619,bloom_adapted,4,4,3,1,98
5ef4860d22eb1d04bbcd9586_old,32355,human,7,7,7,4,77
5ef4860d22eb1d04bbcd9586_old,1031914,mt_zeroshot,1,1,1,1,23
5c92cbb87a7067000190b8e6_old,1278428,gpt4,7,6,7,6,34
5c92cbb87a7067000190b8e6_old,30811,mt_zeroshot,1,1,2,1,32
5c92cbb87a7067000190b8e6_old,2194937,bloom_adapted,7,6,5,6,155
5fa9da847709a126bee808fb_old,311192,bloom_adapted,5,5,4,4,174
5fa9da847709a126bee808fb_old,708828,mt_zeroshot,3,4,4,4,5
5fa9da847709a126bee808fb_old,279069,gpt4,4,4,4,4,22
6155058f810b9e2f4184f021_old,5157,mt5_base,7,7,7,5,31
6155058f810b9e2f4184f021_old,37558,human,7,1,7,6,34
6155058f810b9e2f4184f021_old,30811,mt_finetuned,7,1,1,3,28
5ef4860d22eb1d04bbcd9586,1031914,mt_zeroshot,1,1,1,1,23
